job,cluster,buffered,group,threads,rdate,files,filesize,fileunit,mode,aggrb,bw,rw,bs,bsunit,ioengine,iodepth
fio-beegfs-read-buffered-block_16k-size_4G-threads_2,k8s,1,0,2,2018-11-19 03:42:26,4,4096.0,MB,read,1457,1457,rw,16,K,psync,1
fio-beegfs-read-buffered-block_16k-size_1G-threads_2,k8s,1,0,2,2018-11-19 00:04:21,4,1024.0,MB,read,1479,1479,rw,16,K,psync,1
fio-beegfs-write-buffered-block_16k-size_1G-threads_2,k8s,1,0,2,2018-11-19 00:12:45,4,1024.0,MB,write,746,746,rw,16,K,psync,1
fio-beegfs-write-unbuffered-block_64k-size_2G-threads_8,k8s,0,0,8,2018-11-24 10:16:27,4,2048.0,MB,write,383,383,rw,64,K,psync,1
fio-beegfs-write-buffered-block_16k-size_1G-threads_1,k8s,1,0,1,2018-11-18 19:36:48,4,1024.0,MB,write,548,548,rw,16,K,psync,1
fio-beegfs-read-buffered-block_16k-size_2G-threads_8,k8s,1,0,8,2018-11-19 21:42:47,4,2048.0,MB,read,2931,2931,rw,16,K,psync,1
fio-beegfs-write-buffered-block_16k-size_4G-threads_4,k8s,1,0,4,2018-11-19 13:12:42,4,4096.0,MB,write,450,450,rw,16,K,psync,1
fio-beegfs-read-buffered-block_128k-size_1G-threads_2,k8s,1,0,2,2018-11-19 00:38:01,4,1024.0,MB,read,1650,1650,rw,128,K,psync,1
fio-beegfs-read-unbuffered-block_64k-size_2G-threads_8,k8s,0,0,8,2018-11-24 09:42:33,4,2048.0,MB,read,423,423,rw,64,K,psync,1
fio-beegfs-read-unbuffered-block_16k-size_1G-threads_1,k8s,0,0,1,2018-11-23 07:11:10,4,1024.0,MB,read,48,48,rw,16,K,psync,1
fio-beegfs-read-buffered-block_512k-size_4G-threads_1,k8s,1,0,1,2018-11-18 23:17:58,4,4096.0,MB,read,1097,1097,rw,512,K,psync,1
fio-beegfs-write-buffered-block_64k-size_2G-threads_4,k8s,1,0,4,2018-11-19 10:03:53,4,2048.0,MB,write,451,451,rw,64,K,psync,1
fio-beegfs-write-unbuffered-block_128k-size_2G-threads_1,k8s,0,0,1,2018-11-23 08:57:20,4,2048.0,MB,write,248,248,rw,128,K,psync,1
fio-beegfs-write-unbuffered-block_64k-size_1G-threads_1,k8s,0,0,1,2018-11-23 07:30:05,4,1024.0,MB,write,179,179,rw,64,K,psync,1
fio-beegfs-read-unbuffered-block_64k-size_1G-threads_1,k8s,0,0,1,2018-11-23 07:23:54,4,1024.0,MB,read,116,116,rw,64,K,psync,1
fio-beegfs-write-buffered-block_1024k-size_2G-threads_4,k8s,1,0,4,2018-11-19 12:02:54,4,2048.0,MB,write,461,461,rw,1,M,psync,1
fio-beegfs-write-buffered-block_512k-size_4G-threads_2,k8s,1,0,2,2018-11-19 05:59:58,4,4096.0,MB,write,453,453,rw,512,K,psync,1
fio-beegfs-read-buffered-block_1024k-size_4G-threads_8,k8s,1,0,8,2018-11-20 12:45:18,4,4096.0,MB,read,2784,2784,rw,1,M,psync,1
